nid,title,email,phone,address,website,location,budget,rating,opening_hour,closing_hour,treatments
35,Maya Spa,spa@mayaubud.com,+(62 361) 97 78 88,"Jln. Gunung Sari, Peliatan, Ubud, Bali.",http://www.spaatmaya.com/ubud/,Ubud,4,4,10:00am,6:00pm,Female Masseuse; Massage; Meditation; Facial; Reflexology
36,Wapa Di Ume Spa,reservation@wapadiume.com,+(62 361) 97 31 78,"Jln. Suweta, Br. Bentuyung, Ubud, Bali.",https://wapadiumeubud.com,Ubud,3,4,10:00am,6:00pm,Aromatherapy; Facial; Manicure Pedicure; Reflexology
37,Karma Karana Spa,reservation@theubudvillage.com,+62 361 978444,"Jln. Raya Nyuh Kuning Pengosekan, Ubud, Bali.",https://theubudvillage.com/,Ubud,3,4,10:00am,6:00pm,Female Masseuse; Hairdresser; Male Masseuse; Massage; Aromatherapy; Manicure Pedicure
81,Akoya Spa,spa@viceroybali.com,+62 361 970 777,"Jln. Lanyahan, Br. Nagi, Ubud, Bali.",https://www.akoyaspabali.com/,Ubud,5,5,10:00am,6:00pm,Female Masseuse; Massage; Aromatherapy; Facial; Manicure Pedicure; Reflexology
83,Sundari Day Spa,info@gaiada.com,,"Jln. Petitenget No. 7, Kerobokan, Seminyak, Bali.",https://www.gaiada.com/,Seminyak,2,4,10:00am,6:00pm,Ayuverda; Female Masseuse; Massage; Facial; Manicure Pedicure; Reflexology
84,Jamu Wellness,info@jamuwellnessbali.com,+62 361 4720940,"Jalan Danau Tamblingan 140 Gang Taman Sari, Sanur, Bali",https://www.jamuwellnessbali.com/,Nusa Dua,3,4,10:00am,6:00pm,Female Masseuse; Massage; Facial; Manicure Pedicure; Reflexology
85,Bali Green Spa,info@spabaligreen.com,+(62 361) 841 36 81,"Pertokoan Sunset Permai Blok D, Jln. Sunset Road, Kuta, Bali.",http://www.spabaligreen.com,Legian,2,4,10:00am,6:00pm,Ayuverda; Female Masseuse; Massage; Aromatherapy; Facial; Manicure Pedicure; Reflexology
86,De Ubud Spa,info@deubudvillas.com,+62 361 981 633,"Jl. Pinus No.8, Lodtunduh, Ubud, Bali",https://www.deubudvillas.com,Ubud,3,4,10:00am,6:00pm,Female Masseuse; Massage; Aromatherapy; Facial; Manicure Pedicure; Reflexology
87,Jamu Traditional Spa,jamubali@jamutraditionalspa.com,+(62 361) 76 63 77,"Jln. Pantai Kuta Legian, Bali.",http://jamutraditionalspa.com/jamu-spa-kuta/,Legian,3,4,10:00am,6:00pm,Female Masseuse; Massage; Waxing; Facial; Manicure Pedicure
96,Dewi Sri Spa,reservations@ayungresortubud.com,+62 361 9001333,"Ds. Melinggih Kelod, Br. Begawan, Payangan, Ubud, Bali.",https://www.ayungresortubud.com/,Ubud,5,5,10:00am,6:00pm,Female Masseuse; Massage; Aromatherapy; Facial; Manicure Pedicure; Reflexology
121,Goldust Beauty Lounge,bookings@goldustbali.com,+62 (0) 811 383 721,"Jl. Raya Batu Bolong 66, Canggu, Bali",https://www.gaiada.com/,Canggu,3,3,10:00am,6:00pm,Female Masseuse; Massage; Waxing; Aromatherapy; Facial; Manicure Pedicure; Reflexology
122,Heavenly Spa by Westin,spa.bali@westin.com,+(62 361) 8498888,"Kawasan Pariwisata, 3 BTDC, Nusa Dua, Bali.",https://www.gaiada.com/,Nusa Dua,3,3,10:00am,6:00pm,Meditation
130,Puri Wirata Spa,info@puriwirata.com,+62 81 338 405 335,"Jln. Raya Bunutan, Amed, Karangasem, Bali.",http://www.puriwirata.com/,Amed,3,4,10:00am,6:00pm,Female Masseuse; Massage; Aromatherapy; Facial; Manicure Pedicure; Reflexology
136,Soma Massage,info@soma-massage.com,+(62 361) 889 86 67,"Jalan Pantai Kuta 29 D, Kuta, Bali",http://www.soma-massage.com/soma/soma-legian.php,Kuta,1,4,10:00am,6:00pm,Ayuverda; Female Masseuse; Male Masseuse; Massage; Aromatherapy; Manicure Pedicure; Reflexology
137,Safari Spa,"reservation@masonadventures.co.id, cs@masonadventures.com",+62 361 898 88 88,"Jalan Elephant Park Taro, Tegallalang, Ubud, Bali",https://www.masonelephantlodge.com/,Ubud,3,3,10:00am,6:00pm,Ayuverda; Female Masseuse; Massage; Aromatherapy; Facial; Manicure Pedicure; Reflexology
138,Royal Kirana Spa,reservation@royalkirana.com,+(62 361) 97 63 33,"Ubud, Bali",http://www.royalkirana.com/,Ubud,5,5,10:00am,6:00pm,Female Masseuse; Massage; Aromatherapy; Manicure Pedicure
139,Anapuri Spa,info@anapurivillas.com,+(62 361) 742 59 15,"Br. Pabean, Ketewel, Sukawati, Gianyar, Bali.",http://www.anapurivillas.com/facilities/spa,Sukawati,2,3,10:00am,6:00pm,Female Masseuse; Massage
140,Beauty Sanctuary,contact@fivelements.org,+(62 361) 46 92 06,"Br. Baturning, Mambal, Abiansemal, Ubud, Bali.",http://www.fivelements.org/en/healing/beauty-spa-rituals,Ubud,4,5,10:00am,6:00pm,Female Masseuse; Male Masseuse; Massage; Meditation; Aromatherapy; Facial; Manicure Pedicure; Reflexology
141,Jaya Spa,info@candidasa.puribagus.com,+(62 363) 411 31,"Jln. Raya Candi Dasa, Br. Samuh, Candidasa, Bali.",https://www.puribaguscandidasa.com,Candidasa,3,4,10:00am,6:00pm,Acupuncture; Female Masseuse; Massage; Aromatherapy; Facial; Manicure Pedicure; Reflexology
145,Green Garden Spa,Info@greenbali.com,+(62 361) 76 10 23,"Jalan Kartika Plaza, Kuta, Bali",http://www.greenbali.com/main_spa.html,Kuta,2,4,10:00am,6:00pm,Female Masseuse; Massage; Waxing; Facial; Manicure Pedicure; Reflexology
146,Soma Dua Spa,info@soma-massage.com,+(62) 81 999 3939 22,"Poppies Lane II, Jln. Benesari Kuta, Bali.",http://www.soma-massage.com/soma/soma-dua.php,Kuta,2,4,10:00am,6:00pm,Female Masseuse; Male Masseuse; Massage; Waxing; Aromatherapy; Manicure Pedicure; Reflexology
147,Toya Spa Bali,info@gaiada.com,+(62) (0361) 770177,Jl. By Pass Ngurah Rai Nusa Dua Bali,https://www.gaiada.com/,Nusa Dua,3,3,10:00am,6:00pm,Ayuverda; Female Masseuse; Massage; Aromatherapy; Manicure Pedicure; Reflexology
148,Sekar Jagat Spa,info@sekarjagatspa.com,+(62 361) 77 02 10 / 745 35 40,"Jln. By Pass Ngurah Rai No 96, Mumbul, Nusa Dua, Bali.",http://www.balinesespa.com/,Denpasar,3,4,10:00am,6:00pm,Ayuverda; Female Masseuse; Massage; Aromatherapy; Manicure Pedicure; Reflexology
150,Espace Spa,manori@espacespabali.com,+(62 361) 73 08 28,"Jl.Raya Seminyak Br.Basangkasa N0.3B Kuta, Bali",http://espacespabali.com/,Seminyak,3,4,10:00am,6:00pm,Aromatherapy; Facial; Female Masseuse; Male Masseuse; Manicure Pedicure; Massage; Reflexology
151,Prana Spa Bali,spares@pranaspabali.com,+(62 361) 73 08 40,"Jln. Kunti 118x, Seminyak, Bali.",http://www.pranaspabali.com,Seminyak,4,5,10:00am,6:00pm,Ayuverda; Female Masseuse; Massage; Aromatherapy; Facial; Manicure Pedicure; Reflexology
153,Chill Reflexology,chill@chillreflexology.com,+(62 361) 73 47 01,"Jalan Kunti 118x Seminyak, Bali",http://chillreflexology.com/,Seminyak,3,5,10:00am,6:00pm,Female Masseuse; Massage; Reflexology
154,Spa at Peppers Seminyak,spa@peppersseminyak.com,+(62 361) 730 333,"Jln. Pura Telaga Waja, Petitenget, Seminyak, Bali.",http://www.peppersseminyak.com,Seminyak,4,4,10:00am,6:00pm,Colon Hydrotherapy; Female Masseuse; Massage; Reiki; Facial; Manicure Pedicure; Reflexology
156,Oberoi Spa,info@gaiada.com,+(62 361) 73 03 61,"Jln. Kayu Aya, Seminyak, Bali.",http://www.oberoihotels.com/oberoi_bali/spa_fitness/spa.asp,Seminyak,5,5,10:00am,6:00pm,Ayuverda; Female Masseuse; Massage; Aromatherapy; Facial; Manicure Pedicure; Reflexology
157,Spa Air,spa@villa-airbali.com,+(62 361) 73 73 78,"Jln. Lebak Sari, Br. Taman, Petitenget, Bali.",http://www.villa-airbali.com/,Seminyak,3,3,10:00am,6:00pm,Female Masseuse; Massage; Meditation; Reiki; Reflexology; Manicure Pedicure
159,Rama Spa,reservation@ramayanahotel.com,+(62 361) 744 20 93,"Jln. Bakung Sari, Kuta, Bali.",http://www.ramayanahotel.com,Kuta,2,3,10:00am,6:00pm,Female Masseuse; Massage; Facial; Manicure Pedicure; Reflexology
161,Rama Spa Seaview,reservation@kutaseaviewhotel.com,+(62 361) 75 19 61,"Jln. Pantai Kuta, Kuta, Bali.",http://www.kutaseaviewhotel.com/,Kuta,3,3,10:00am,6:00pm,Female Masseuse; Massage; Facial; Manicure Pedicure; Reflexology
162,Ambiente Reflexology Spa,reservation@ramagardenhotelbali.com,+(62 361) 75 81 74,"Jln. Sahadewa, Legian Kelod, Kuta, Bali.",http://ramaspabali.com/ramagarden.html,Legian,2,4,10:00am,6:00pm,Female Masseuse; Massage; Aromatherapy; Reflexology
